#(id,length,speed,channel,from,to,isDuplex)
(5013, 60, 8, 3, 537, 926, 1)
(5021, 56, 15, 4, 831, 250, 1)
(5022, 36, 12, 4, 211, 491, 1)
(5055, 40, 10, 2, 1238, 1129, 1)
(5056, 42, 15, 1, 1423, 775, 1)
(5057, 48, 12, 3, 622, 501, 0)
(5060, 24, 10, 2, 1982, 1423, 1)
(5070, 48, 8, 2, 1940, 977, 0)
(5073, 60, 10, 2, 493, 1724, 1)
(5097, 20, 15, 1, 773, 1929, 1)
(5099, 30, 12, 1, 1624, 1087, 1)
(5100, 56, 15, 1, 201, 980, 1)
(5101, 30, 12, 4, 1580, 661, 1)
(5102, 40, 10, 3, 667, 1390, 1)
(5103, 20, 12, 2, 1834, 1138, 1)
(5104, 60, 15, 2, 312, 1809, 0)
(5113, 60, 15, 1, 1909, 781, 1)
(5115, 30, 8, 3, 1940, 894, 1)
(5123, 48, 12, 4, 537, 1613, 1)
(5127, 56, 12, 2, 129, 1423, 1)
(5130, 48, 10, 2, 913, 1106, 1)
(5165, 60, 8, 4, 1855, 834, 1)
(5168, 24, 8, 2, 1138, 581, 1)
(5173, 48, 15, 2, 1058, 1285, 1)
(5177, 36, 15, 3, 1671, 1305, 1)
(5181, 60, 10, 2, 1667, 1601, 1)
(5190, 20, 12, 4, 395, 1611, 0)
(5197, 48, 15, 2, 977, 189, 1)
(5205, 56, 10, 2, 870, 839, 1)
(5209, 48, 12, 4, 501, 1492, 1)
(5221, 30, 8, 3, 1861, 622, 1)
(5255, 20, 15, 4, 1602, 1624, 1)
(5261, 56, 10, 1, 1944, 1940, 1)
(5267, 40, 10, 4, 1696, 51, 1)
(5277, 56, 12, 4, 1508, 1368, 1)
(5280, 30, 15, 4, 501, 913, 1)
(5300, 60, 10, 3, 795, 1602, 1)
(5311, 20, 15, 4, 1368, 1608, 1)
(5326, 50, 8, 3, 980, 1192, 1)
(5341, 36, 8, 3, 129, 667, 0)
(5347, 20, 12, 4, 395, 1580, 1)
(5350, 20, 12, 2, 1072, 1855, 1)
(5380, 36, 8, 2, 1754, 1655, 1)
(5381, 56, 10, 4, 1106, 852, 1)
(5384, 50, 12, 3, 554, 211, 1)
(5385, 30, 12, 4, 1197, 1242, 1)
(5397, 50, 10, 2, 1058, 1940, 1)
(5412, 24, 8, 1, 1861, 870, 1)
(5413, 48, 10, 4, 1106, 1521, 1)
