#(id,from,to,speed,planTime)
(73056, 1295, 1446, 6, 28)
(14391, 588, 1793, 6, 8)
(88598, 954, 173, 6, 44)
(15176, 954, 1318, 16, 16)
(90166, 996, 1214, 6, 29)
(103787, 1556, 153, 8, 17)
(86152, 1761, 1140, 4, 30)
(105784, 996, 100, 8, 12)
(62926, 1678, 7, 14, 24)
(99219, 1186, 771, 16, 28)
(82195, 1446, 327, 6, 32)
(79415, 175, 505, 14, 20)
(11545, 1334, 224, 4, 39)
(80640, 327, 801, 10, 47)
(99051, 229, 1766, 4, 2)
(50992, 315, 251, 12, 12)
(91027, 1837, 588, 14, 25)
(42331, 1352, 7, 16, 16)
(99600, 391, 49, 4, 30)
(36538, 839, 327, 12, 2)
(66629, 1299, 505, 10, 45)
(67138, 363, 718, 8, 8)
(55746, 472, 1446, 10, 40)
(85521, 175, 1439, 12, 18)
(87532, 1816, 1227, 16, 11)
(11400, 472, 859, 4, 42)
(96980, 1043, 105, 14, 11)
(40965, 1197, 1177, 10, 39)
(74624, 1054, 136, 12, 28)
(28487, 1043, 810, 16, 25)
(18823, 173, 1319, 8, 34)
(42437, 482, 801, 4, 22)
(77833, 618, 658, 10, 7)
(65177, 182, 1157, 14, 44)
(99266, 1433, 771, 6, 35)
(78011, 1334, 224, 14, 18)
(34403, 1157, 1352, 16, 30)
(84055, 1765, 229, 12, 13)
(19149, 491, 463, 14, 42)
(17695, 1217, 96, 12, 12)
(36160, 339, 33, 4, 23)
(109076, 1439, 1299, 16, 24)
(44828, 1833, 1502, 4, 26)
(94214, 1495, 1809, 10, 41)
(10694, 294, 718, 6, 24)
(107335, 1586, 1177, 4, 8)
(69392, 1293, 1334, 6, 43)
(104885, 1796, 1816, 8, 14)
(46646, 1366, 384, 4, 31)
(51485, 1318, 1197, 12, 2)
(64602, 534, 1626, 8, 6)
(15454, 678, 1070, 6, 33)
(80585, 810, 718, 10, 45)
(33920, 463, 416, 4, 34)
(76626, 1229, 1626, 16, 12)
(65457, 1697, 1767, 10, 6)
(100431, 1765, 33, 4, 39)
(12972, 588, 983, 8, 9)
(99864, 870, 224, 16, 27)
(94972, 229, 482, 14, 19)
(57721, 801, 796, 6, 15)
(33052, 224, 588, 6, 32)
(85783, 1803, 1334, 14, 1)
(55065, 337, 1023, 8, 43)
(39265, 839, 327, 10, 29)
(29752, 416, 1023, 14, 34)
(85407, 588, 1289, 4, 17)
(45529, 718, 1070, 14, 17)
(47871, 1937, 1876, 10, 9)
(18880, 1352, 1446, 8, 38)
(97035, 229, 1586, 4, 11)
(67387, 788, 1957, 8, 21)
(72439, 1831, 1289, 10, 10)
(102193, 801, 1295, 8, 33)
(104976, 1295, 801, 12, 12)
(31578, 1809, 1556, 14, 33)
(21801, 302, 718, 8, 44)
(45251, 251, 315, 10, 15)
(91702, 796, 7, 12, 39)
(43430, 1541, 1269, 16, 31)
(41823, 339, 1299, 6, 26)
(35504, 1541, 174, 14, 16)
(71044, 482, 229, 6, 43)
(81458, 482, 1269, 6, 5)
(22451, 1937, 1334, 4, 40)
(100838, 932, 1502, 6, 10)
(17300, 173, 1765, 4, 46)
(20705, 174, 1766, 4, 25)
(86326, 1495, 588, 4, 17)
(100209, 1949, 234, 14, 15)
(59267, 337, 1334, 8, 37)
(106198, 1811, 505, 14, 47)
(99426, 33, 234, 16, 42)
(15354, 100, 594, 16, 12)
(21045, 1561, 1446, 4, 16)
(94881, 1293, 1876, 8, 15)
(107640, 1043, 1023, 8, 47)
(61412, 1157, 1586, 6, 3)
(27054, 1140, 482, 4, 30)
(16535, 153, 1289, 8, 42)
(50178, 1766, 1186, 6, 18)
(42856, 540, 339, 16, 35)
(34078, 859, 505, 10, 19)
(68852, 839, 384, 12, 2)
(48649, 1561, 859, 16, 30)
(105864, 1809, 535, 10, 16)
(11399, 658, 1352, 4, 41)
(46079, 1319, 859, 4, 6)
(29904, 869, 1319, 8, 38)
(72359, 1043, 1070, 14, 41)
(27593, 1721, 505, 16, 48)
(36005, 996, 698, 4, 7)
(56095, 1217, 1023, 10, 40)
(77060, 1539, 1957, 16, 7)
(16920, 540, 1765, 12, 39)
(94077, 416, 49, 14, 25)
(30187, 339, 1697, 4, 18)
(30521, 771, 1721, 8, 30)
(85364, 1319, 996, 6, 11)
(100379, 517, 535, 12, 12)
(88142, 1299, 1766, 10, 7)
(25334, 771, 1318, 14, 5)
(30201, 1796, 1230, 16, 2)
(17920, 1837, 788, 16, 19)
(67932, 404, 1957, 4, 2)
(46223, 229, 1991, 14, 3)
(33577, 234, 33, 10, 22)
(90253, 1803, 96, 4, 25)
(52197, 500, 1957, 14, 32)
(68872, 251, 1502, 16, 45)
(85554, 1140, 1003, 14, 2)
(46095, 251, 1957, 14, 16)
(52601, 302, 1855, 12, 11)
(38505, 1495, 1070, 12, 49)
(15658, 996, 181, 10, 32)
(42982, 136, 302, 14, 2)
(28740, 1293, 1334, 16, 36)
(75086, 840, 7, 14, 22)
