#(id,roadId,roadId,roadId,roadId)
(7, -1, 6191, 5194, -1)
(25, 5412, 5557, 5666, -1)
(28, -1, 5205, 5684, 6488)
(33, 6806, 5289, 6022, 6532)
(43, 5557, 5882, 5928, 6897)
(49, 6296, 6011, -1, 5590)
(92, 6944, 6276, 6376, 5205)
(96, 6426, 5270, 6296, 6358)
(100, 5204, -1, 5828, 5741)
(105, 6358, 5449, 5718, 5213)
(136, 5704, -1, 5164, 5360)
(153, 5220, 6201, -1, 5344)
(173, 6183, 5344, -1, 5292)
(174, 6534, 5287, -1, 6930)
(175, -1, 5564, 5963, -1)
(181, 5218, -1, 5340, 6259)
(182, 5612, 5293, 6149, -1)
(196, 6746, 6120, -1, 6056)
(205, 5647, 6371, 6539, 6272)
(224, 5349, 5603, 5358, 5669)
(229, 6527, 5982, 5654, 5036)
(234, 5700, 5319, 5730, 5453)
(244, -1, 6787, 6573, 5169)
(251, 5683, 5649, -1, 5953)
(260, 6940, 6797, 6183, 5630)
(294, 6814, -1, 5726, 6040)
(302, 6690, 5375, 6498, 5911)
(315, 5163, 6335, 5699, -1)
(327, 6103, 5730, 6701, 6639)
(330, 6357, -1, 5938, 6649)
(337, 6009, -1, 6984, 5694)
(339, 6016, 5741, 6701, 5691)
(363, 5409, 5544, -1, 6014)
(384, 5828, -1, 5371, 6639)
(391, 5928, 5712, 5976, 5173)
(404, 5015, 5762, -1, 5624)
(416, 5173, 5694, 5754, 5377)
(449, 6090, 6771, 5182, 5870)
(451, 6160, 5943, 5473, 5182)
(463, 5449, 5590, -1, 5762)
(472, 5018, 6254, 5560, 5354)
(482, 5892, 6816, 5091, -1)
(491, 6984, -1, 6662, 6661)
(500, 6732, 6539, 5860, 6814)
(505, 6394, 5337, -1, 5257)
(517, 6340, 6160, 6199, 6485)
(534, 6543, -1, 6238, 5412)
(535, -1, 6260, 6943, 6802)
(540, 5320, 5146, -1, 6878)
(588, 5680, 6888, 6426, 5417)
(594, 6806, 6878, 6853, 5287)
(599, 5031, 5018, -1, 6557)
(607, 6272, 5228, 5084, 6274)
(618, 6120, 6975, 6753, 6941)
(658, -1, 6587, 5725, 5258)
(665, 6947, 5239, 5859, 6391)
(678, 6488, 5276, 5030, -1)
(689, 5666, 5825, 5996, 5074)
(698, 5691, 5319, 6000, 5892)
(713, 6649, 6482, 6371, 5508)
(718, 5704, 6792, 6571, -1)
(759, 5699, 5669, 6225, -1)
(771, -1, 6125, 6103, 5059)
(788, 6640, 5935, 5911, 5857)
(796, 6254, 6641, -1, 5239)
(801, -1, 6927, 6182, 5933)
(810, 5213, -1, 6498, 5417)
(811, -1, -1, 6056, 6521)
(819, 5533, 6941, 5683, 6255)
(839, 6274, -1, -1, 5745)
(840, 5649, 6753, 5511, -1)
(852, 6797, 6199, 6771, 5220)
(859, -1, 5933, 6416, 6709)
(869, 5647, 5745, 6787, 6582)
(870, 5522, 6481, 5152, 6047)
(932, 6217, -1, 5533, 5594)
(942, -1, 5710, 6284, 5618)
(954, -1, 5511, 6124, 6410)
(983, 6557, 6471, 5030, 5077)
(996, -1, 6543, 6244, 6927)
(1002, 5228, 6732, 5950, 5817)
(1003, 5218, 5091, 5859, 6072)
(1023, 6011, 5778, -1, -1)
(1043, 5276, -1, 5871, 5227)
(1054, 6217, -1, 5726, 6521)
(1070, 5714, -1, 5592, 6888)
(1076, 5560, 6947, 6149, 5256)
(1077, 6340, 6187, 6670, -1)
