#(id,from,to,speed,planTime)
(10000, 39, 94, 6, 55)
(10001, 18, 73, 4, 88)
(10002, 65, 20, 8, 13)
(10003, 75, 10, 4, 1)
(10004, 66, 11, 6, 99)
(10005, 98, 1, 6, 44)
(10006, 37, 81, 8, 93)
(10007, 59, 1, 6, 42)
(10008, 49, 94, 4, 75)
(10009, 60, 2, 6, 87)
(10010, 100, 13, 4, 20)
(10011, 12, 69, 8, 82)
(10012, 93, 39, 8, 18)
(10013, 51, 10, 8, 5)
(10014, 78, 1, 4, 87)
(10015, 14, 69, 8, 50)
(10016, 75, 10, 4, 22)
(10017, 71, 19, 6, 27)
(10018, 16, 91, 6, 11)
(10019, 99, 11, 4, 43)
(10020, 24, 99, 8, 73)
(10021, 72, 29, 4, 42)
(10022, 38, 91, 4, 67)
(10023, 28, 83, 6, 62)
(10024, 57, 1, 8, 80)
(10025, 64, 9, 6, 39)
(10026, 66, 11, 8, 28)
(10027, 76, 11, 8, 80)
(10028, 41, 99, 8, 95)
(10029, 66, 11, 8, 19)
(10030, 13, 70, 6, 37)
(10031, 14, 79, 4, 48)
(10032, 74, 19, 6, 13)
(10033, 81, 30, 6, 91)
(10034, 58, 3, 8, 68)
(10035, 5, 90, 8, 29)
(10036, 89, 3, 4, 30)
(10037, 63, 18, 8, 8)
(10038, 72, 19, 8, 67)
(10039, 41, 97, 4, 11)
(10040, 30, 92, 8, 77)
(10041, 9, 64, 4, 67)
(10042, 86, 1, 6, 49)
(10043, 64, 20, 8, 35)
(10044, 17, 62, 8, 37)
(10045, 69, 4, 4, 13)
(10046, 74, 30, 8, 93)
(10047, 68, 2, 4, 45)
(10048, 27, 72, 4, 77)
(10049, 43, 100, 6, 30)
(10050, 98, 21, 6, 89)
(10051, 81, 18, 4, 92)
(10052, 31, 86, 4, 86)
(10053, 84, 20, 6, 98)
(10054, 6, 91, 6, 92)
(10055, 44, 100, 8, 54)
(10056, 83, 40, 6, 16)
(10057, 88, 21, 6, 73)
(10058, 64, 20, 4, 54)
(10059, 90, 21, 4, 7)
(10060, 50, 93, 8, 86)
(10061, 45, 100, 6, 9)
(10062, 43, 99, 4, 34)
(10063, 51, 8, 4, 93)
(10064, 68, 13, 6, 67)
(10065, 22, 97, 4, 96)
(10066, 28, 92, 4, 18)
(10067, 92, 27, 6, 38)
(10068, 73, 20, 4, 71)
(10069, 44, 100, 6, 91)
(10070, 5, 70, 4, 77)
(10071, 43, 100, 8, 68)
(10072, 69, 3, 8, 4)
(10073, 46, 91, 8, 58)
(10074, 42, 99, 8, 95)
(10075, 36, 81, 8, 23)
(10076, 76, 21, 8, 27)
(10077, 33, 98, 8, 65)
(10078, 76, 1, 6, 15)
(10079, 23, 99, 4, 69)
(10080, 48, 92, 8, 6)
(10081, 46, 91, 6, 97)
(10082, 3, 100, 4, 16)
(10083, 51, 9, 6, 85)
(10084, 83, 18, 6, 75)
(10085, 62, 19, 4, 19)
(10086, 68, 11, 8, 27)
(10087, 95, 40, 8, 34)
(10088, 80, 21, 4, 20)
(10089, 83, 39, 8, 3)
(10090, 10, 65, 8, 52)
(10091, 6, 71, 8, 35)
(10092, 75, 10, 8, 41)
(10093, 10, 72, 8, 14)
(10094, 12, 67, 4, 15)
(10095, 100, 22, 6, 23)
(10096, 67, 1, 6, 8)
(10097, 22, 98, 4, 61)
(10098, 97, 1, 8, 36)
(10099, 39, 93, 4, 91)
(10100, 33, 99, 4, 73)
(10101, 18, 92, 4, 36)
(10102, 86, 31, 8, 55)
(10103, 10, 83, 6, 8)
(10104, 39, 83, 6, 95)
(10105, 34, 100, 4, 27)
(10106, 27, 81, 8, 25)
(10107, 71, 7, 4, 26)
(10108, 89, 23, 6, 63)
(10109, 8, 61, 6, 4)
(10110, 66, 11, 8, 10)
(10111, 58, 2, 4, 2)
(10112, 2, 57, 6, 11)
(10113, 98, 41, 6, 46)
(10114, 74, 19, 8, 62)
(10115, 69, 1, 6, 51)
(10116, 78, 11, 4, 39)
(10117, 61, 8, 8, 31)
