#(id,length,speed,channel,from,to,isDuplex)
(5000, 20, 10, 3, 1, 2, 1)
(5001, 30, 15, 4, 2, 3, 1)
(5002, 24, 15, 4, 3, 4, 1)
(5003, 24, 15, 4, 4, 5, 1)
(5004, 30, 10, 2, 5, 6, 1)
(5005, 36, 12, 3, 6, 7, 1)
(5006, 24, 15, 2, 7, 8, 1)
(5007, 20, 15, 3, 8, 9, 1)
(5008, 24, 15, 2, 9, 10, 1)
(5009, 30, 10, 3, 1, 11, 1)
(5010, 36, 12, 2, 2, 12, 1)
(5011, 30, 15, 2, 3, 13, 1)
(5012, 40, 15, 3, 4, 14, 1)
(5013, 40, 12, 2, 5, 15, 1)
(5014, 40, 10, 3, 6, 16, 1)
(5015, 40, 10, 3, 7, 17, 1)
(5016, 20, 10, 2, 8, 18, 1)
(5017, 30, 12, 3, 9, 19, 1)
(5018, 36, 15, 1, 10, 20, 1)
(5019, 40, 15, 4, 11, 12, 1)
(5020, 24, 15, 2, 12, 13, 1)
(5021, 20, 15, 2, 13, 14, 0)
(5022, 36, 15, 1, 14, 15, 1)
(5023, 30, 10, 1, 15, 16, 1)
(5024, 24, 10, 3, 16, 17, 1)
(5025, 20, 10, 2, 17, 18, 1)
(5026, 30, 15, 3, 18, 19, 1)
(5027, 20, 15, 3, 19, 20, 1)
(5028, 20, 12, 3, 11, 21, 1)
(5029, 24, 15, 1, 12, 22, 1)
(5030, 24, 10, 4, 14, 24, 1)
(5031, 30, 10, 2, 15, 25, 0)
(5032, 40, 10, 1, 16, 26, 1)
(5033, 20, 10, 2, 17, 27, 1)
(5034, 40, 15, 3, 18, 28, 1)
(5035, 36, 10, 4, 19, 29, 1)
(5036, 30, 15, 2, 20, 30, 1)
(5037, 20, 15, 4, 21, 22, 1)
(5038, 30, 15, 1, 23, 24, 1)
(5039, 20, 15, 1, 24, 25, 1)
(5040, 40, 10, 2, 25, 26, 1)
(5041, 20, 10, 4, 27, 28, 1)
(5042, 30, 15, 1, 29, 30, 1)
(5043, 24, 10, 2, 21, 31, 1)
(5044, 24, 10, 1, 22, 32, 0)
(5045, 30, 10, 3, 23, 33, 1)
(5046, 20, 15, 4, 24, 34, 1)
(5047, 24, 15, 4, 26, 36, 1)
(5048, 30, 15, 1, 28, 38, 1)
(5049, 20, 15, 4, 30, 40, 1)
(5050, 24, 12, 1, 31, 32, 1)
(5051, 40, 12, 3, 32, 33, 1)
(5052, 20, 10, 4, 33, 34, 0)
(5053, 30, 10, 3, 34, 35, 1)
(5054, 20, 10, 2, 35, 36, 1)
(5055, 30, 15, 1, 36, 37, 1)
(5056, 36, 10, 1, 37, 38, 1)
(5057, 20, 10, 2, 38, 39, 1)
(5058, 36, 12, 4, 39, 40, 1)
(5059, 36, 10, 1, 31, 41, 1)
(5060, 24, 15, 2, 32, 42, 1)
(5061, 20, 15, 3, 33, 43, 1)
(5062, 40, 12, 2, 34, 44, 1)
(5063, 20, 12, 3, 35, 45, 1)
(5064, 40, 12, 3, 36, 46, 0)
(5065, 40, 15, 2, 37, 47, 1)
(5066, 24, 15, 2, 39, 49, 1)
(5067, 30, 15, 1, 40, 50, 1)
(5068, 20, 12, 1, 41, 42, 1)
(5069, 36, 10, 1, 42, 43, 1)
(5070, 36, 15, 4, 44, 45, 1)
(5071, 40, 12, 4, 45, 46, 1)
(5072, 40, 10, 4, 46, 47, 1)
(5073, 36, 15, 2, 47, 48, 1)
